GBManhattanDistances FeatureIds
4 4
3 4
2 4
1 4
0 4
0 12
1 12
2 12
3 12
4 12
5 12
6 12
7 12
8 12
9 12
10 12
11 12
12 12
13 12
14 12
15 12
16 12
17 12
18 12
19 12
20 12
21 12
22 12
23 12
24 12
25 12
26 12
27 12
28 12
29 12
30 12
31 12
32 12
33 12
34 12
34 12
33 12
33 12
32 12
32 12
31 12
30 12
29 12
28 12
28 12
27 12
26 12
25 12
24 12
23 12
22 12
21 12
20 12
19 12
18 12
18 12
17 12
16 12
16 12
15 12
14 12
14 12
13 12
13 12
13 12
13 12
13 12
13 12
13 12
13 12
13 12
13 12
13 12
13 12
13 12
13 12
13 12
13 12
13 12
13 12
13 12
13 12
13 12
13 12
13 12
13 12
13 12
13 12
13 12
13 12
13 12
13 12
13 12
13 12
13 12
13 12
13 12
13 12
13 12
13 12
13 12
13 12
13 12
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
65 3
64 3
63 3
62 3
61 3
60 3
59 3
58 3
57 3
56 3
55 3
54 3
53 3
52 3
51 3
50 3
49 3
48 3
47 3
46 3
45 3
44 3
43 3
42 3
41 3
40 3
39 3
38 3
37 3
36 3
35 3
34 3
33 3
32 3
31 3
30 3
29 3
28 3
27 3
26 3
25 3
24 3
23 3
22 3
21 3
20 3
19 3
18 3
17 3
16 3
15 3
14 3
13 3
12 3
11 3
10 3
9 3
8 3
7 3
6 3
5 3
4 3
3 3
2 3
1 3
0 3
0 9
1 9
2 9
3 9
4 9
5 9
6 9
7 9
8 9
9 9
10 9
11 9
12 9
13 9
14 9
15 9
16 9
17 9
18 9
19 9
20 9
21 9
22 9
23 9
24 9
24 9
23 9
22 9
21 9
20 9
19 9
18 9
17 9
16 9
15 9
14 9
13 9
12 9
11 9
10 9
9 9
8 9
7 9
6 9
5 9
4 9
3 9
2 9
1 9
0 9
0 4
1 4
2 4
3 4
4 4
5 4
6 4
7 4
8 4
9 4
10 4
11 4
12 4
13 4
12 4
11 4
10 4
9 4
8 4
7 4
6 4
5 4
4 4
3 4
2 4
1 4
0 4
0 12
1 12
2 12
3 12
4 12
5 12
6 12
7 12
8 12
9 12
10 12
11 12
12 12
13 12
14 12
15 12
16 12
17 12
18 12
19 12
20 12
21 12
22 12
23 12
24 12
25 12
26 12
27 12
28 12
29 12
30 12
31 12
32 12
33 12
34 12
33 12
32 12
32 12
31 12
31 12
30 12
29 12
28 12
27 12
27 12
26 12
25 12
24 12
23 12
22 12
21 12
20 12
19 12
18 12
17 12
17 12
16 12
15 12
15 12
14 12
13 12
13 12
12 12
12 12
12 12
12 12
12 12
12 12
12 12
12 12
12 12
12 12
12 12
12 12
12 12
12 12
12 12
12 12
12 12
12 12
12 12
12 12
12 12
12 12
12 12
12 12
12 12
12 12
12 12
12 12
12 12
12 12
12 12
12 12
12 12
12 12
12 12
12 12
12 12
12 12
12 12
12 12
12 12
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
64 3
63 3
62 3
61 3
60 3
59 3
58 3
57 3
56 3
55 3
54 3
53 3
52 3
51 3
50 3
49 3
48 3
47 3
46 3
45 3
44 3
43 3
42 3
41 3
40 3
39 3
38 3
37 3
36 3
35 3
34 3
33 3
32 3
31 3
30 3
29 3
28 3
27 3
26 3
25 3
24 3
23 3
22 3
21 3
20 3
19 3
18 3
17 3
16 3
15 3
14 3
13 3
12 3
11 3
10 3
9 3
8 3
7 3
6 3
5 3
4 3
3 3
2 3
1 3
0 3
0 9
1 9
2 9
3 9
4 9
5 9
6 9
7 9
8 9
9 9
10 9
11 9
12 9
13 9
14 9
15 9
16 9
17 9
18 9
19 9
20 9
21 9
22 9
23 9
24 9
24 9
23 9
22 9
21 9
20 9
19 9
18 9
17 9
16 9
15 9
14 9
13 9
12 9
11 9
10 9
9 9
8 9
7 9
6 9
5 9
4 9
3 9
2 9
1 9
0 9
0 4
1 4
2 4
3 4
4 4
5 4
6 4
7 4
8 4
9 4
10 4
11 4
12 4
13 4
12 4
11 4
10 4
9 4
8 4
7 4
6 4
5 4
4 4
3 4
2 4
1 4
0 4
0 12
1 12
2 12
3 12
4 12
5 12
6 12
7 12
8 12
9 12
10 12
11 12
12 12
13 12
14 12
15 12
16 12
17 12
18 12
19 12
20 12
21 12
22 12
23 12
24 12
25 12
26 12
27 12
28 12
29 12
30 12
31 12
32 12
33 12
33 12
32 12
31 12
31 12
30 12
30 12
29 12
28 12
27 12
26 12
26 12
25 12
24 12
23 12
22 12
21 12
20 12
19 12
18 12
17 12
16 12
16 12
15 12
14 12
14 12
13 12
12 12
12 12
11 12
11 12
11 12
11 12
11 12
11 12
11 12
11 12
11 12
11 12
11 12
11 12
11 12
11 12
11 12
11 12
11 12
11 12
11 12
11 12
11 12
11 12
11 12
11 12
11 12
11 12
11 12
11 12
11 12
11 12
11 12
11 12
11 12
11 12
11 12
11 12
11 12
11 12
11 12
11 12
11 12
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
63 3
62 3
61 3
60 3
59 3
58 3
57 3
56 3
55 3
54 3
53 3
52 3
51 3
50 3
49 3
48 3
47 3
46 3
45 3
44 3
43 3
42 3
41 3
40 3
39 3
38 3
37 3
36 3
35 3
34 3
33 3
32 3
31 3
30 3
29 3
28 3
27 3
26 3
25 3
24 3
23 3
22 3
21 3
20 3
19 3
18 3
17 3
16 3
15 3
14 3
13 3
12 3
11 3
10 3
9 3
8 3
7 3
6 3
5 3
4 3
3 3
2 3
1 3
0 3
0 9
1 9
2 9
3 9
4 9
5 9
6 9
7 9
8 9
9 9
10 9
11 9
12 9
13 9
14 9
15 9
16 9
17 9
18 9
19 9
20 9
21 9
22 9
23 9
24 9
24 9
23 9
22 9
21 9
20 9
19 9
18 9
17 9
16 9
15 9
14 9
13 9
12 9
11 9
10 9
9 9
8 9
7 9
6 9
5 9
4 9
3 9
2 9
1 9
0 9
0 4
1 4
2 4
3 4
4 4
5 4
6 4
7 4
8 4
9 4
10 4
11 4
12 4
13 4
12 4
11 4
10 4
9 4
8 4
7 4
6 4
5 4
4 4
3 4
2 4
1 4
0 4
0 12
1 12
2 12
3 12
4 12
5 12
6 12
7 12
8 12
9 12
10 12
11 12
12 12
13 12
14 12
15 12
16 12
17 12
18 12
19 12
20 12
21 12
22 12
23 12
24 12
25 12
26 12
27 12
28 12
29 12
30 12
31 12
32 12
32 12
32 12
31 12
30 12
30 12
29 12
29 12
28 12
27 12
26 12
25 12
25 12
24 12
23 12
22 12
21 12
20 12
19 12
18 12
17 12
16 12
15 12
15 12
14 12
13 12
13 12
12 12
11 12
11 12
10 12
10 12
10 12
10 12
10 12
10 12
10 12
10 12
10 12
10 12
10 12
10 12
10 12
10 12
10 12
10 12
10 12
10 12
10 12
10 12
10 12
10 12
10 12
10 12
10 12
10 12
10 12
10 12
10 12
10 12
10 12
10 12
10 12
10 12
10 12
10 12
10 12
10 12
10 12
10 12
10 12
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
62 3
61 3
60 3
59 3
58 3
57 3
56 3
55 3
54 3
53 3
52 3
51 3
50 3
49 3
48 3
47 3
46 3
45 3
44 3
43 3
42 3
41 3
40 3
39 3
38 3
37 3
36 3
35 3
34 3
33 3
32 3
31 3
30 3
29 3
28 3
27 3
26 3
25 3
24 3
23 3
22 3
21 3
20 3
19 3
18 3
17 3
16 3
15 3
14 3
13 3
12 3
11 3
10 3
9 3
8 3
7 3
6 3
5 3
4 3
3 3
2 3
1 3
0 3
0 9
1 9
2 9
3 9
4 9
5 9
6 9
7 9
8 9
9 9
10 9
11 9
12 9
13 9
14 9
15 9
16 9
17 9
18 9
19 9
20 9
21 9
22 9
23 9
24 9
24 9
23 9
22 9
21 9
20 9
19 9
18 9
17 9
16 9
15 9
14 9
13 9
12 9
11 9
10 9
9 9
8 9
7 9
6 9
5 9
4 9
3 9
2 9
1 9
0 9
0 4
1 4
2 4
3 4
4 4
5 4
6 4
7 4
8 4
9 4
10 4
11 4
12 4
13 4
12 4
11 4
10 4
9 4
8 4
7 4
6 4
5 4
4 4
3 4
2 4
1 4
0 4
0 12
1 12
2 12
3 12
4 12
5 12
6 12
7 12
8 12
9 12
10 12
11 12
12 12
13 12
14 12
15 12
16 12
17 12
18 12
19 12
20 12
21 12
22 12
23 12
24 12
25 12
26 12
27 12
28 12
29 12
30 12
31 12
31 12
31 12
31 12
30 12
29 12
29 12
28 12
28 12
27 12
26 12
25 12
24 12
24 12
23 12
22 12
21 12
20 12
19 12
18 12
17 12
16 12
15 12
14 12
14 12
13 12
12 12
12 12
11 12
10 12
10 12
9 12
9 12
9 12
9 12
9 12
9 12
9 12
9 12
9 12
9 12
9 12
9 12
9 12
9 12
9 12
9 12
9 12
9 12
9 12
9 12
9 12
9 12
9 12
9 12
9 12
9 12
9 12
9 12
9 12
9 12
9 12
9 12
9 12
9 12
9 12
9 12
9 12
9 12
9 12
9 12
9 12
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
61 3
60 3
59 3
58 3
57 3
56 3
55 3
54 3
53 3
52 3
51 3
50 3
49 3
48 3
47 3
46 3
45 3
44 3
43 3
42 3
41 3
40 3
39 3
38 3
37 3
36 3
35 3
34 3
33 3
32 3
31 3
30 3
29 3
28 3
27 3
26 3
25 3
24 3
23 3
22 3
21 3
20 3
19 3
18 3
17 3
16 3
15 3
14 3
13 3
12 3
11 3
10 3
9 3
8 3
7 3
6 3
5 3
4 3
3 3
2 3
1 3
0 3
0 9
1 9
2 9
3 9
4 9
5 9
6 9
7 9
8 9
9 9
10 9
11 9
12 9
13 9
14 9
15 9
16 9
17 9
18 9
19 9
20 9
21 9
22 9
23 9
24 9
24 9
23 9
22 9
21 9
20 9
19 9
18 9
17 9
16 9
15 9
14 9
13 9
12 9
11 9
10 9
9 9
8 9
7 9
6 9
5 9
4 9
3 9
2 9
1 9
0 9
0 4
1 4
2 4
3 4
4 4
5 4
6 4
7 4
8 4
9 4
10 4
11 4
12 4
13 4
12 4
11 4
10 4
9 4
8 4
7 4
6 4
5 4
4 4
3 4
2 4
1 4
0 4
0 12
1 12
2 12
3 12
4 12
5 12
6 12
7 12
8 12
9 12
10 12
11 12
12 12
13 12
14 12
15 12
16 12
17 12
18 12
19 12
20 12
21 12
22 12
23 12
24 12
25 12
26 12
27 12
28 12
29 12
30 12
31 12
30 12
30 12
30 12
29 12
28 12
28 12
27 12
27 12
26 12
25 12
24 12
23 12
23 12
22 12
21 12
20 12
19 12
18 12
17 12
16 12
15 12
14 12
13 12
13 12
12 12
11 12
11 12
10 12
9 12
9 12
8 12
8 12
8 12
8 12
8 12
8 12
8 12
8 12
8 12
8 12
8 12
8 12
8 12
8 12
8 12
8 12
8 12
8 12
8 12
8 12
8 12
8 12
8 12
8 12
8 12
8 12
8 12
8 12
8 12
8 12
8 12
8 12
8 12
8 12
8 12
8 12
8 12
8 12
8 12
8 12
8 12
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
60 3
59 3
58 3
57 3
56 3
55 3
54 3
53 3
52 3
51 3
50 3
49 3
48 3
47 3
46 3
45 3
44 3
43 3
42 3
41 3
40 3
39 3
38 3
37 3
36 3
35 3
34 3
33 3
32 3
31 3
30 3
29 3
28 3
27 3
26 3
25 3
24 3
23 3
22 3
21 3
20 3
19 3
18 3
17 3
16 3
15 3
14 3
13 3
12 3
11 3
10 3
9 3
8 3
7 3
6 3
5 3
4 3
3 3
2 3
1 3
0 3
0 9
1 9
2 9
3 9
4 9
5 9
6 9
7 9
8 9
9 9
10 9
11 9
12 9
13 9
14 9
15 9
16 9
17 9
18 9
19 9
20 9
21 9
22 9
23 9
24 9
24 9
23 9
22 9
21 9
20 9
19 9
18 9
17 9
16 9
15 9
14 9
13 9
12 9
11 9
10 9
9 9
8 9
7 9
6 9
5 9
4 9
3 9
2 9
1 9
0 9
0 4
1 4
2 4
3 4
4 4
5 4
6 4
7 4
8 4
9 4
10 4
11 4
12 4
13 4
12 4
11 4
10 4
9 4
8 4
7 4
6 4
5 4
4 4
3 4
2 4
1 4
0 4
0 12
1 12
2 12
3 12
4 12
5 12
6 12
7 12
8 12
9 12
10 12
11 12
12 12
13 12
14 12
15 12
16 12
17 12
18 12
19 12
20 12
21 12
22 12
23 12
24 12
25 12
26 12
27 12
28 12
29 12
30 12
30 12
29 12
29 12
29 12
28 12
27 12
27 12
26 12
26 12
25 12
24 12
23 12
22 12
22 12
21 12
20 12
19 12
18 12
17 12
16 12
15 12
14 12
13 12
12 12
12 12
11 12
10 12
10 12
9 12
8 12
8 12
7 12
7 12
7 12
7 12
7 12
7 12
7 12
7 12
7 12
7 12
7 12
7 12
7 12
7 12
7 12
7 12
7 12
7 12
7 12
7 12
7 12
7 12
7 12
7 12
7 12
7 12
7 12
7 12
7 12
7 12
7 12
7 12
7 12
7 12
7 12
7 12
7 12
7 12
7 12
7 12
7 12
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
59 3
58 3
57 3
56 3
55 3
54 3
53 3
52 3
51 3
50 3
49 3
48 3
47 3
46 3
45 3
44 3
43 3
42 3
41 3
40 3
39 3
38 3
37 3
36 3
35 3
34 3
33 3
32 3
31 3
30 3
29 3
28 3
27 3
26 3
25 3
24 3
23 3
22 3
21 3
20 3
19 3
18 3
17 3
16 3
15 3
14 3
13 3
12 3
11 3
10 3
9 3
8 3
7 3
6 3
5 3
4 3
3 3
2 3
1 3
0 3
0 9
1 9
2 9
3 9
4 9
5 9
6 9
7 9
8 9
9 9
10 9
11 9
12 9
13 9
14 9
15 9
16 9
17 9
18 9
19 9
20 9
21 9
22 9
23 9
24 9
24 9
23 9
22 9
21 9
20 9
19 9
18 9
17 9
16 9
15 9
14 9
13 9
12 9
11 9
10 9
9 9
8 9
7 9
6 9
5 9
4 9
3 9
2 9
1 9
0 9
0 4
1 4
2 4
3 4
4 4
5 4
6 4
7 4
8 4
9 4
10 4
11 4
12 4
13 4
12 4
11 4
10 4
9 4
8 4
7 4
6 4
5 4
4 4
3 4
2 4
1 4
0 4
0 12
1 12
2 12
3 12
4 12
5 12
6 12
7 12
8 12
9 12
10 12
11 12
12 12
13 12
14 12
15 12
16 12
17 12
18 12
19 12
20 12
21 12
22 12
23 12
24 12
25 12
26 12
27 12
28 12
29 12
29 12
29 12
28 12
28 12
28 12
27 12
26 12
26 12
25 12
25 12
24 12
23 12
22 12
21 12
21 12
20 12
19 12
18 12
17 12
16 12
15 12
14 12
13 12
12 12
11 12
11 12
10 12
9 12
9 12
8 12
7 12
7 12
6 12
6 12
6 12
6 12
6 12
6 12
6 12
6 12
6 12
6 12
6 12
6 12
6 12
6 12
6 12
6 12
6 12
6 12
6 12
6 12
6 12
6 12
6 12
6 12
6 12
6 12
6 12
6 12
6 12
6 12
6 12
6 12
6 12
6 12
6 12
6 12
6 12
6 12
6 12
6 12
6 12
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
58 3
57 3
56 3
55 3
54 3
53 3
52 3
51 3
50 3
49 3
48 3
47 3
46 3
45 3
44 3
43 3
42 3
41 3
40 3
39 3
38 3
37 3
36 3
35 3
34 3
33 3
32 3
31 3
30 3
29 3
28 3
27 3
26 3
25 3
24 3
23 3
22 3
21 3
20 3
19 3
18 3
17 3
16 3
15 3
14 3
13 3
12 3
11 3
10 3
9 3
8 3
7 3
6 3
5 3
4 3
3 3
2 3
1 3
0 3
0 9
1 9
2 9
3 9
4 9
5 9
6 9
7 9
8 9
9 9
10 9
11 9
12 9
13 9
14 9
15 9
16 9
17 9
18 9
19 9
20 9
21 9
22 9
23 9
24 9
24 9
23 9
22 9
21 9
20 9
19 9
18 9
17 9
16 9
15 9
14 9
13 9
12 9
11 9
10 9
9 9
8 9
7 9
6 9
5 9
4 9
3 9
2 9
1 9
0 9
0 4
1 4
2 4
3 4
4 4
5 4
6 4
7 4
8 4
9 4
10 4
11 4
12 4
13 4
13 4
12 4
11 4
10 4
9 4
8 4
7 4
6 4
5 4
4 4
3 4
2 4
1 4
0 4
0 12
1 12
2 12
3 12
4 12
5 12
6 12
7 12
8 12
9 12
10 12
11 12
12 12
13 12
14 12
15 12
16 12
17 12
18 12
19 12
20 12
21 12
22 12
23 12
24 12
25 12
26 12
27 12
28 12
28 12
28 12
27 12
27 12
27 12
26 12
25 12
25 12
24 12
24 12
23 12
22 12
21 12
20 12
20 12
19 12
18 12
17 12
16 12
15 12
14 12
13 12
12 12
11 12
10 12
10 12
9 12
8 12
8 12
7 12
6 12
6 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
57 3
56 3
55 3
54 3
53 3
52 3
51 3
50 3
49 3
48 3
47 3
46 3
45 3
44 3
43 3
42 3
41 3
40 3
39 3
38 3
37 3
36 3
35 3
34 3
33 3
32 3
31 3
30 3
29 3
28 3
27 3
26 3
25 3
24 3
23 3
22 3
21 3
20 3
19 3
18 3
17 3
16 3
15 3
14 3
13 3
12 3
11 3
10 3
9 3
8 3
7 3
6 3
5 3
4 3
3 3
2 3
1 3
0 3
0 9
1 9
2 9
3 9
4 9
5 9
6 9
7 9
8 9
9 9
10 9
11 9
12 9
13 9
14 9
15 9
16 9
17 9
18 9
19 9
20 9
21 9
22 9
23 9
24 9
24 9
23 9
22 9
21 9
20 9
19 9
18 9
17 9
16 9
15 9
14 9
13 9
12 9
11 9
10 9
9 9
8 9
7 9
6 9
5 9
4 9
3 9
2 9
1 9
0 9
0 4
1 4
2 4
3 4
4 4
5 4
6 4
7 4
8 4
9 4
10 4
11 4
12 4
13 4
13 4
12 4
11 4
10 4
9 4
8 4
7 4
6 4
5 4
4 4
3 4
2 4
1 4
0 4
0 12
1 12
2 12
3 12
4 12
5 12
6 12
7 12
8 12
9 12
10 12
11 12
12 12
13 12
14 12
15 12
16 12
17 12
18 12
19 12
20 12
21 12
22 12
23 12
24 12
25 12
26 12
27 12
27 12
27 12
27 12
26 12
26 12
26 12
25 12
24 12
24 12
23 12
23 12
22 12
21 12
20 12
19 12
19 12
18 12
17 12
16 12
15 12
14 12
13 12
12 12
11 12
10 12
9 12
9 12
8 12
7 12
7 12
6 12
5 12
5 12
4 12
4 12
4 12
4 12
4 12
4 12
4 12
4 12
4 12
4 12
4 12
4 12
4 12
4 12
4 12
4 12
4 12
4 12
4 12
4 12
4 12
4 12
4 12
4 12
4 12
4 12
4 12
4 12
4 12
4 12
4 12
4 12
4 12
4 12
4 12
4 12
4 12
4 12
4 12
4 12
4 12
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
56 3
55 3
54 3
53 3
52 3
51 3
50 3
49 3
48 3
47 3
46 3
45 3
44 3
43 3
42 3
41 3
40 3
39 3
38 3
37 3
36 3
35 3
34 3
33 3
32 3
31 3
30 3
29 3
28 3
27 3
26 3
25 3
24 3
23 3
22 3
21 3
20 3
19 3
18 3
17 3
16 3
15 3
14 3
13 3
12 3
11 3
10 3
9 3
8 3
7 3
6 3
5 3
4 3
3 3
2 3
1 3
0 3
0 9
1 9
2 9
3 9
4 9
5 9
6 9
7 9
8 9
9 9
10 9
11 9
12 9
13 9
14 9
15 9
16 9
17 9
18 9
19 9
20 9
21 9
22 9
23 9
24 9
24 9
23 9
22 9
21 9
20 9
19 9
18 9
17 9
16 9
15 9
14 9
13 9
12 9
11 9
10 9
9 9
8 9
7 9
6 9
5 9
4 9
3 9
2 9
1 9
0 9
0 4
1 4
2 4
3 4
4 4
5 4
6 4
7 4
8 4
9 4
10 4
11 4
12 4
13 4
13 4
12 4
11 4
10 4
9 4
8 4
7 4
6 4
5 4
4 4
3 4
2 4
1 4
0 4
0 12
1 12
2 12
3 12
4 12
5 12
6 12
7 12
8 12
9 12
10 12
11 12
12 12
13 12
14 12
15 12
16 12
17 12
18 12
19 12
20 12
21 12
22 12
23 12
24 12
25 12
26 12
26 12
26 12
26 12
26 12
25 12
25 12
25 12
24 12
23 12
23 12
22 12
22 12
21 12
20 12
19 12
18 12
18 12
17 12
16 12
15 12
14 12
13 12
12 12
11 12
10 12
9 12
8 12
8 12
7 12
6 12
6 12
5 12
4 12
4 12
3 12
3 12
3 12
3 12
3 12
3 12
3 12
3 12
3 12
3 12
3 12
3 12
3 12
3 12
3 12
3 12
3 12
3 12
3 12
3 12
3 12
3 12
3 12
3 12
3 12
3 12
3 12
3 12
3 12
3 12
3 12
3 12
3 12
3 12
3 12
3 12
3 12
3 12
3 12
3 12
3 12
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
55 3
54 3
53 3
52 3
51 3
50 3
49 3
48 3
47 3
46 3
45 3
44 3
43 3
42 3
41 3
40 3
39 3
38 3
37 3
36 3
35 3
34 3
33 3
32 3
31 3
30 3
29 3
28 3
27 3
26 3
25 3
24 3
23 3
22 3
21 3
20 3
19 3
18 3
17 3
16 3
15 3
14 3
13 3
12 3
11 3
10 3
9 3
8 3
7 3
6 3
5 3
4 3
3 3
2 3
1 3
0 3
0 9
1 9
2 9
3 9
4 9
5 9
6 9
7 9
8 9
9 9
10 9
11 9
12 9
13 9
14 9
15 9
16 9
17 9
18 9
19 9
20 9
21 9
22 9
23 9
24 9
24 9
23 9
22 9
21 9
20 9
19 9
18 9
17 9
16 9
15 9
14 9
13 9
12 9
11 9
10 9
9 9
8 9
7 9
6 9
5 9
4 9
3 9
2 9
1 9
0 9
0 4
1 4
2 4
3 4
4 4
5 4
6 4
7 4
8 4
9 4
10 4
11 4
12 4
13 4
14 4
13 4
12 4
11 4
10 4
9 4
8 4
7 4
6 4
5 4
4 4
3 4
2 4
1 4
0 4
0 12
1 12
2 12
3 12
4 12
5 12
6 12
7 12
8 12
9 12
10 12
11 12
12 12
13 12
14 12
15 12
16 12
17 12
18 12
19 12
20 12
21 12
22 12
23 12
24 12
25 12
25 12
25 12
25 12
25 12
24 12
24 12
24 12
23 12
22 12
22 12
21 12
21 12
20 12
19 12
18 12
17 12
17 12
16 12
15 12
14 12
13 12
12 12
11 12
10 12
9 12
8 12
7 12
7 12
6 12
5 12
5 12
4 12
3 12
3 12
2 12
2 12
2 12
2 12
2 12
2 12
2 12
2 12
2 12
2 12
2 12
2 12
2 12
2 12
2 12
2 12
2 12
2 12
2 12
2 12
2 12
2 12
2 12
2 12
2 12
2 12
2 12
2 12
2 12
2 12
2 12
2 12
2 12
2 12
2 12
2 12
2 12
2 12
2 12
2 12
2 12
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
54 3
53 3
52 3
51 3
50 3
49 3
48 3
47 3
46 3
45 3
44 3
43 3
42 3
41 3
40 3
39 3
38 3
37 3
36 3
35 3
34 3
33 3
32 3
